date,access_level,type,parameter,parameter_idk,change_to,unit,user
2023-11-03 12:02:25,2,45, parameter for friction 1: set value force, Ch1_R0135,9.0,[kN] ,ZapataF
2023-11-03 12:02:28,2,45, parameter for upsetting 1: set value force, Ch1_R0155,9.0,[kN] ,ZapataF
2023-11-03 12:02:30,2,45, parameter for upsetting 2: set value force, Ch1_R0165,9.0,[kN] ,ZapataF
2023-11-03 12:12:51,2,45, parameter for friction 1: set value force, Ch1_R0135,11.0,[kN] ,ZapataF
2023-11-03 12:12:54,2,45, parameter for friction 2: set value force, Ch1_R0145,7.0,[kN] ,ZapataF
2023-11-03 12:12:57,2,45, parameter for upsetting 1: set value force, Ch1_R0155,11.0,[kN] ,ZapataF
2023-11-03 12:13:00,2,45, parameter for upsetting 2: set value force, Ch1_R0165,11.0,[kN] ,ZapataF
2023-11-03 12:24:22,2,45, parameter for friction 1: set value force, Ch1_R0135,8.0,[kN] ,ZapataF
2023-11-03 12:24:24,2,45, parameter for friction 2: set value force, Ch1_R0145,8.0,[kN] ,ZapataF
2023-11-03 12:24:26,2,45, parameter for upsetting 1: set value force, Ch1_R0155,8.0,[kN] ,ZapataF
2023-11-03 12:24:28,2,45, parameter for upsetting 2: set value force, Ch1_R0165,8.0,[kN] ,ZapataF
2023-11-03 12:33:05,2,45, parameter for friction 1: set value force, Ch1_R0135,12.0,[kN] ,ZapataF
2023-11-03 12:33:07,2,45, parameter for friction 2: set value force, Ch1_R0145,4.0,[kN] ,ZapataF
2023-11-03 12:33:09,2,45, parameter for upsetting 1: set value force, Ch1_R0155,12.0,[kN] ,ZapataF
2023-11-03 12:33:12,2,45, parameter for upsetting 2: set value force, Ch1_R0165,12.0,[kN] ,ZapataF
2023-11-03 12:43:03,2,45, parameter for friction 1: set value force, Ch1_R0135,8.0,[kN] ,ZapataF
2023-11-03 12:43:06,2,45, parameter for upsetting 1: set value force, Ch1_R0155,8.0,[kN] ,ZapataF
2023-11-03 12:43:08,2,45, parameter for upsetting 2: set value force, Ch1_R0165,8.0,[kN] ,ZapataF
2023-11-03 12:52:23,2,45, parameter for friction 1: set value force, Ch1_R0135,12.0,[kN] ,ZapataF
2023-11-03 12:52:25,2,45, parameter for friction 2: set value force, Ch1_R0145,8.0,[kN] ,ZapataF
2023-11-03 12:52:28,2,45, parameter for upsetting 1: set value force, Ch1_R0155,12.0,[kN] ,ZapataF
2023-11-03 12:52:31,2,45, parameter for upsetting 2: set value force, Ch1_R0165,12.0,[kN] ,ZapataF
2023-11-03 13:01:58,0,45, parameter for friction 1: set value force, Ch1_R0135,12.0,[kN] ,
2023-11-03 13:01:58,0,45, parameter for friction 2: set value force, Ch1_R0145,8.0,[kN] ,
2023-11-03 13:01:58,0,45, parameter for upsetting 1: set value force, Ch1_R0155,12.0,[kN] ,
2023-11-03 13:01:58,0,45, parameter for upsetting 2: set value force, Ch1_R0165,12.0,[kN] ,
2023-11-03 13:07:00,0,45, parameter for friction 1: set value force, Ch1_R0135,12.0,[kN] ,
2023-11-03 13:07:00,0,45, parameter for friction 2: set value force, Ch1_R0145,8.0,[kN] ,
2023-11-03 13:07:00,0,45, parameter for upsetting 1: set value force, Ch1_R0155,12.0,[kN] ,
2023-11-03 13:07:00,0,45, parameter for upsetting 2: set value force, Ch1_R0165,12.0,[kN] ,
2023-11-03 13:10:48,2,45, parameter for friction 1: set value force, Ch1_R0135,10.0,[kN] ,ZapataF
2023-11-03 13:10:51,2,45, parameter for friction 2: set value force, Ch1_R0145,6.0,[kN] ,ZapataF
2023-11-03 13:10:53,2,45, parameter for upsetting 1: set value force, Ch1_R0155,10.0,[kN] ,ZapataF
2023-11-03 13:10:55,2,45, parameter for upsetting 2: set value force, Ch1_R0165,10.0,[kN] ,ZapataF
